fecha,finca,bloque,sensor,temperatura,humedad_relativa,radiacion_par,gramos_agua,luz_lux
2026-05-22T06:00:00+00:00,Finca Demo,BLOQUE 01,WIGGA,12.4,95.1,18.2,10.8,
2026-05-22T06:30:00+00:00,Finca Demo,BLOQUE 01,WIGGA,13.1,92.4,75.5,11.0,
2026-05-22T07:00:00+00:00,Finca Demo,BLOQUE 01,WIGGA,15.8,87.6,180.4,12.1,
2026-05-22T07:30:00+00:00,Finca Demo,BLOQUE 01,WIGGA,17.2,82.3,310.8,12.9,
2026-05-22T08:00:00+00:00,Finca Demo,BLOQUE 01,WIGGA,19.4,75.8,420.6,13.5,
2026-05-22T06:00:00+00:00,Finca Demo,EXTERNO ALMACEN,ECOWITT,11.9,96.0,15.0,,
2026-05-22T06:30:00+00:00,Finca Demo,EXTERNO ALMACEN,ECOWITT,12.6,93.8,62.0,,
2026-05-22T07:00:00+00:00,Finca Demo,EXTERNO ALMACEN,ECOWITT,14.9,89.2,155.0,,
2026-05-22T06:00:00+00:00,Finca Demo,EXTERNO ALMACEN,APOGEE,,,,,1200
2026-05-22T06:30:00+00:00,Finca Demo,EXTERNO ALMACEN,APOGEE,,,,,2600
2026-05-22T07:00:00+00:00,Finca Demo,EXTERNO ALMACEN,APOGEE,,,,,4100
